PROVNO,KABKOTNO,PROVINSI,KABKOT,NPM,LONG,LAT
19, 1, KEPULAUAN BANGKA BELITUNG, BANGKA, Diandita, 105.934932, -1.895816
19, 2, KEPULAUAN BANGKA BELITUNG, BELITUNG, Diandita, 107.670962, -2.863657
19, 3, KEPULAUAN BANGKA BELITUNG, BANGKA BARAT, 1144028, 105.506129, -1.900851
19, 4, KEPULAUAN BANGKA BELITUNG, BANGKA TENGAH, 1144028, 106.309493, -2.484852
19, 5, KEPULAUAN BANGKA BELITUNG, BANGKA SELATAN, 1144028, 106.256551, -2.752143
19, 6, KEPULAUAN BANGKA BELITUNG, BELITUNG TIMUR, 1144028, 108.024462, -2.905251
19, 71, KEPULAUAN BANGKA BELITUNG, PANGKAL PINANG, 1144028, 106.117265, -2.125429
